Date,Open,High,Low,Close,Adj Close,Volume
2023-07-05,42.639999,42.830002,42.610001,42.720001,42.519642,91300
2023-07-06,42.400002,42.459999,42.119999,42.439999,42.240952,61900
2023-07-07,42.389999,42.683998,42.245998,42.270000,42.071747,31000
2023-07-10,42.200001,42.259998,41.986000,42.259998,42.061790,85000
2023-07-11,42.310001,42.480000,42.138000,42.410000,42.211090,56700
2023-07-12,42.810001,42.987999,42.700001,42.849998,42.649025,32400
2023-07-13,43.070000,43.320000,43.057999,43.240002,43.037201,43700
2023-07-14,43.330002,43.389999,43.150002,43.250000,43.047150,25300
2023-07-17,43.279999,43.509998,43.243000,43.439999,43.236259,83000
2023-07-18,43.380001,43.860001,43.317001,43.779999,43.574665,46500
2023-07-19,43.860001,43.970001,43.660000,43.770000,43.564716,52000
2023-07-20,43.680000,43.807999,43.259998,43.310001,43.106873,58500
2023-07-21,43.540001,43.540001,43.299999,43.340000,43.136730,22500
2023-07-24,43.459999,43.598999,43.380001,43.529999,43.325836,63000
2023-07-25,43.549999,43.868999,43.512001,43.750000,43.544804,29200
2023-07-26,43.689999,43.859001,43.560001,43.759998,43.554756,38200
2023-07-27,44.209999,44.209999,43.400002,43.480000,43.276073,45600
2023-07-28,43.820000,44.145000,43.764999,44.080002,43.873260,34300
2023-07-31,44.110001,44.139999,43.950001,44.119999,43.913071,73400
2023-08-01,43.950001,44.029999,43.840000,43.980000,43.773724,56200
2023-08-02,43.680000,43.680000,43.195000,43.310001,43.106873,85700
2023-08-03,43.080002,43.340000,43.011002,43.169998,42.967525,62500
2023-08-04,43.160000,43.342999,42.689999,42.689999,42.489777,38500
2023-08-07,42.910000,42.980000,42.730000,42.970001,42.768467,126400
2023-08-08,42.840000,42.924999,42.570000,42.910000,42.708748,29700
2023-08-09,43.009998,43.009998,42.590000,42.630001,42.430061,67000
2023-08-10,42.930000,43.200001,42.483002,42.610001,42.410152,47600
2023-08-11,42.439999,42.665001,42.340000,42.610001,42.410152,44300
2023-08-14,42.529999,42.880001,42.419998,42.880001,42.678890,46300
2023-08-15,42.730000,42.730000,42.310001,42.389999,42.191181,54900
2023-08-16,42.310001,42.470001,42.000000,42.000000,41.803017,39700
2023-08-17,42.220001,42.230000,41.730000,41.759998,41.564137,53800
2023-08-18,41.459999,41.840000,41.374001,41.759998,41.564137,26200
2023-08-21,41.840000,42.139999,41.709999,42.049999,41.852779,56300
2023-08-22,42.340000,42.340000,42.009998,42.090000,41.892593,41900
2023-08-23,42.180000,42.700001,42.180000,42.570000,42.370342,32500
2023-08-24,42.799999,42.799999,41.840000,41.849998,41.653721,29400
2023-08-25,41.939999,42.325001,41.700001,42.200001,42.002079,17800
2023-08-28,42.549999,42.564999,42.319000,42.500000,42.300671,34700
2023-08-29,42.490002,43.220001,42.490002,43.189999,42.987434,36800
2023-08-30,43.240002,43.435001,43.200001,43.430000,43.226307,44800
2023-08-31,43.520000,43.604000,43.410000,43.419998,43.216358,36400
2023-09-01,43.759998,43.759998,43.419998,43.590000,43.385555,19400
2023-09-05,43.560001,43.659000,43.439999,43.529999,43.325836,121300
2023-09-06,43.480000,43.480000,42.990002,43.189999,42.987434,36200
2023-09-07,42.790001,42.959999,42.736000,42.910000,42.708748,41200
2023-09-08,42.980000,43.230000,42.959999,43.040001,42.838142,23000
2023-09-11,43.400002,43.430000,43.169998,43.419998,43.216358,48900
2023-09-12,43.299999,43.354000,43.000000,43.000000,42.798321,14400
2023-09-13,43.060001,43.180000,42.936001,43.040001,42.838142,38500
2023-09-14,43.340000,43.476002,43.200001,43.430000,43.226307,24000
2023-09-15,43.299999,43.299999,42.810001,42.869999,42.668930,27200
2023-09-18,42.900002,43.020000,42.848999,42.919998,42.718697,40500
2023-09-19,42.779999,42.900002,42.633999,42.869999,42.668930,23000
2023-09-20,42.990002,43.000000,42.310001,42.320000,42.121513,41400
2023-09-21,42.040001,42.040001,41.669998,41.700001,41.504425,33700
2023-09-22,41.830002,41.956001,41.580002,41.599998,41.404892,19300
2023-09-25,41.480000,41.759998,41.400002,41.759998,41.564137,32900
2023-09-26,41.500000,41.500000,41.070000,41.180000,40.986858,47300
2023-09-27,41.360001,41.360001,40.860001,41.240002,41.068523,37500
2023-09-28,41.200001,41.680000,41.160000,41.540001,41.367275,56400
2023-09-29,41.799999,41.869999,41.299999,41.439999,41.267685,52200
2023-10-02,41.369999,41.650002,41.257999,41.610001,41.436985,93700
2023-10-03,41.389999,41.389999,40.930000,41.080002,40.909187,61900
2023-10-04,41.090000,41.470001,41.040001,41.395000,41.222878,50900
2023-10-05,41.410000,41.419998,41.080002,41.360001,41.188023,30000
2023-10-06,41.160000,42.049999,41.070999,41.930000,41.755650,32800
2023-10-09,41.790001,42.240002,41.730000,42.240002,42.064362,33100
2023-10-10,42.270000,42.650002,42.270000,42.340000,42.163948,46500
2023-10-11,42.509998,42.549999,42.259998,42.540001,42.363113,22500
2023-10-12,42.630001,42.639999,42.080002,42.349998,42.173904,31300
2023-10-13,42.480000,42.509998,41.889999,42.040001,41.865192,21200
2023-10-16,42.169998,42.529999,42.169998,42.410000,42.233654,38400
2023-10-17,42.180000,42.610001,42.120998,42.500000,42.323280,30600
2023-10-18,42.380001,42.387001,41.910000,42.029999,41.855232,36500
2023-10-19,42.020000,42.095001,41.570000,41.590000,41.417065,16500
2023-10-20,41.570000,41.570000,41.110001,41.110001,40.939060,27500
2023-10-23,40.950001,41.337002,40.691002,41.020000,40.849438,33400
2023-10-24,41.220001,41.290001,40.939999,41.209999,41.038643,22300
2023-10-25,41.060001,41.060001,40.500000,40.590000,40.421223,23200
2023-10-26,40.430000,40.430000,39.796001,39.880001,39.714176,34100
2023-10-27,40.070000,40.070000,39.615002,39.750000,39.584717,25900
2023-10-30,39.950001,40.195000,39.849998,40.080002,39.913345,81700
2023-10-31,40.200001,40.299999,39.958000,40.299999,40.132423,29700
2023-11-01,40.439999,40.869999,40.410000,40.810001,40.640308,58400
2023-11-02,41.240002,41.560001,41.169998,41.560001,41.387188,45600
2023-11-03,41.700001,41.923000,41.669998,41.849998,41.675983,20700
2023-11-06,41.959999,42.060001,41.837002,42.060001,41.885113,104100
2023-11-07,42.060001,42.259998,41.900002,42.200001,42.024529,29600
2023-11-08,42.270000,42.330002,42.020000,42.270000,42.094238,29400
2023-11-09,42.340000,42.340000,41.779999,41.849998,41.675983,20300
2023-11-10,42.060001,42.560001,41.950001,42.560001,42.383034,19900
2023-11-13,42.459999,42.589001,42.290001,42.500000,42.323280,62700
2023-11-14,43.070000,43.369999,43.070000,43.320000,43.139874,44500
2023-11-15,43.439999,43.530998,43.320000,43.389999,43.209579,46200
2023-11-16,43.360001,43.520000,43.270000,43.509998,43.329079,22400
2023-11-17,43.450001,43.500000,43.279999,43.459999,43.279285,25300
2023-11-20,43.459999,43.889999,43.459999,43.849998,43.667664,62600
2023-11-21,43.790001,43.790001,43.599998,43.740002,43.558125,20200
2023-11-22,43.910000,44.060001,43.810001,43.959999,43.777206,29800
2023-11-24,43.959999,43.959999,43.860001,43.860001,43.677628,18700
2023-11-27,43.849998,43.943001,43.743999,43.849998,43.667664,41900
2023-11-28,43.799999,44.060001,43.769001,43.950001,43.767250,34300
2023-11-29,44.250000,44.308998,43.834999,43.889999,43.707500,52300
2023-11-30,44.029999,44.029999,43.680000,43.990002,43.807087,33100
2023-12-01,43.810001,44.139999,43.740002,44.110001,43.926582,37900
2023-12-04,43.709999,43.790001,43.490002,43.790001,43.607918,70600
2023-12-05,43.660000,43.959999,43.639000,43.869999,43.687584,78000
2023-12-06,44.070000,44.070000,43.599998,43.639999,43.458542,27800
2023-12-07,43.900002,44.110001,43.831001,44.070000,43.886749,50800
2023-12-08,43.950001,44.270000,43.935001,44.270000,44.085922,24500
2023-12-11,44.099998,44.320000,44.049999,44.259998,44.075958,80100
2023-12-12,44.240002,44.470001,44.119999,44.470001,44.285091,27600
2023-12-13,44.509998,44.930000,44.410000,44.880001,44.693386,38400
2023-12-14,45.029999,45.200001,44.869999,45.090000,44.902508,44100
2023-12-15,45.009998,45.160000,44.990002,45.070000,44.882595,20600
2023-12-18,45.180000,45.320000,45.125999,45.209999,45.022011,46100
2023-12-19,45.349998,45.590000,45.349998,45.564999,45.375534,79300
2023-12-20,45.580002,45.749001,45.000000,45.000000,44.812889,48000
2023-12-21,45.380001,45.490002,45.169998,45.490002,45.300850,30300
2023-12-22,45.590000,45.689999,45.380001,45.509998,45.320766,21700
2023-12-26,45.590000,45.799000,45.590000,45.750000,45.559769,60900
2023-12-27,45.599998,45.669998,45.509998,45.669998,45.621700,65600
2023-12-28,45.639999,45.750000,45.570000,45.650002,45.601727,62400
2023-12-29,45.650002,45.650002,45.279999,45.459999,45.411922,67300
2024-01-02,45.080002,45.119999,44.759998,44.970001,44.922443,105100
2024-01-03,44.799999,44.939999,44.669998,44.730000,44.682697,98800
2024-01-04,44.660000,44.810001,44.459999,44.480000,44.432961,89100
2024-01-05,44.490002,44.723000,44.330002,44.442001,44.395000,44900
2024-01-08,44.509998,45.139999,44.480000,45.139999,45.092262,105400
2024-01-09,44.919998,45.169998,44.869999,45.080002,45.032326,84100
2024-01-10,45.110001,45.430000,45.110001,45.349998,45.302040,27700
2024-01-11,45.480000,45.509998,44.990002,45.400002,45.351990,60900
2024-01-12,45.439999,45.542999,45.319000,45.400002,45.351990,31500
2024-01-16,45.349998,45.430000,45.060001,45.250000,45.202148,107800
2024-01-17,44.939999,45.040001,44.720001,45.040001,44.992371,67000
2024-01-18,45.310001,45.520000,45.241001,45.500000,45.451881,37100
2024-01-19,45.709999,46.070000,45.570000,46.049999,46.001297,39700
2024-01-22,46.250000,46.355000,46.099998,46.160000,46.111183,79600
2024-01-23,46.240002,46.330002,46.090000,46.330002,46.281006,68700
2024-01-24,46.529999,46.660000,46.320000,46.349998,46.300983,45700
2024-01-25,46.480000,46.599998,46.320000,46.570000,46.520752,36900
2024-01-26,46.480000,46.597000,46.330002,46.430000,46.380898,43600
2024-01-29,46.490002,46.810001,46.384998,46.810001,46.760498,61100
2024-01-30,46.799999,46.799999,46.500000,46.580002,46.530743,56800
2024-01-31,46.200001,46.200001,45.602001,45.610001,45.561768,75100
2024-02-01,45.830002,46.160000,45.799999,46.160000,46.111183,63700
2024-02-02,46.169998,46.810001,46.147999,46.700001,46.650616,52100
2024-02-05,46.599998,46.720001,46.341999,46.549999,46.500771,119800
2024-02-06,46.680000,46.740002,46.529999,46.709999,46.660603,41800
2024-02-07,46.970001,47.150002,46.919998,47.139999,47.090145,38800
2024-02-08,47.189999,47.240002,47.090000,47.240002,47.190041,50500
2024-02-09,47.330002,47.529999,47.263000,47.529999,47.479733,110800
2024-02-12,47.520000,47.615002,47.299999,47.380001,47.329895,72400
2024-02-13,46.700001,46.820000,46.340000,46.669998,46.620644,42400
2024-02-14,46.900002,47.110001,46.666000,47.070000,47.020222,63100
2024-02-15,47.090000,47.310001,47.000000,47.299999,47.249977,63100
2024-02-16,47.349998,47.349998,46.970001,47.009998,46.960281,34200
2024-02-20,46.900002,46.959999,46.544998,46.820000,46.770485,92900
2024-02-21,46.630001,46.880001,46.500000,46.860001,46.810448,33200
2024-02-22,47.419998,47.700001,47.250000,47.619999,47.569637,51700
2024-02-23,47.770000,47.770000,47.490002,47.540001,47.489727,39100
2024-02-26,47.560001,47.560001,47.320000,47.330002,47.279949,61300
2024-02-27,47.400002,47.450001,47.181000,47.450001,47.399822,38300
2024-02-28,47.369999,47.369999,47.187000,47.320000,47.269958,46700
2024-02-29,47.470001,47.639999,47.220001,47.560001,47.509705,52700
2024-03-01,47.639999,48.049999,47.636002,47.990002,47.939251,46700
2024-03-04,47.849998,47.849998,47.580002,47.639999,47.589619,130200
2024-03-05,47.310001,47.310001,46.700001,46.919998,46.870377,91600
2024-03-06,47.160000,47.259998,46.901001,47.040001,46.990253,117900
2024-03-07,47.270000,47.665001,47.220001,47.560001,47.509705,62600
2024-03-08,47.590000,47.820000,47.330002,47.380001,47.329895,56000
2024-03-11,47.250000,47.410000,47.118999,47.410000,47.359863,128100
2024-03-12,47.599998,47.910000,47.299999,47.880001,47.829365,45200
2024-03-13,47.900002,47.900002,47.639999,47.700001,47.649559,54500
2024-03-14,47.930000,47.930000,47.549999,47.820000,47.769428,33100
2024-03-15,47.529999,47.549999,47.110001,47.360001,47.309914,45500
2024-03-18,47.779999,48.027000,47.730000,47.750000,47.699501,43100
2024-03-19,47.709999,48.000000,47.566002,47.980000,47.929256,51000
2024-03-20,48.040001,48.410000,47.889999,48.410000,48.358807,54800
2024-03-21,48.720001,48.720001,48.360001,48.380001,48.328838,33300
2024-03-22,48.299999,48.419998,48.250000,48.349998,48.298866,41100
2024-03-25,48.119999,48.200001,48.040001,48.139999,48.089088,49000
2024-03-26,48.180000,48.289001,48.000000,48.060001,48.009178,69900
2024-03-27,48.310001,48.480000,48.112999,48.480000,48.459988,47000
2024-03-28,48.520000,48.520000,48.330002,48.360001,48.340038,47300
2024-04-01,48.500000,48.558998,48.314999,48.439999,48.420006,113400
2024-04-02,48.099998,48.220001,47.939999,48.220001,48.200096,112500
2024-04-03,48.150002,48.419998,48.080002,48.270000,48.250076,77300
2024-04-04,48.639999,48.720001,47.730000,47.790001,47.770275,69800
2024-04-05,47.919998,48.419998,47.849998,48.200001,48.180107,65800
2024-04-08,48.360001,48.365002,48.200001,48.259998,48.240078,71300
2024-04-09,48.459999,48.500000,48.049999,48.500000,48.479980,39600
2024-04-10,48.020000,48.040001,47.830002,48.000000,47.980186,57200
2024-04-11,48.209999,48.580002,47.881001,48.490002,48.469986,20900
2024-04-12,48.200001,48.330002,47.740002,47.919998,47.900219,35600
2024-04-15,48.130001,48.130001,47.119999,47.169998,47.150528,81300
2024-04-16,47.150002,47.220001,46.887001,46.970001,46.950615,76600
2024-04-17,47.160000,47.160000,46.470001,46.639999,46.620747,48800
2024-04-18,46.680000,46.750000,46.310001,46.369999,46.350861,30300
2024-04-19,46.369999,46.369999,45.799999,45.950001,45.931034,39800
2024-04-22,46.160000,46.493999,45.860001,46.200001,46.180931,64000
2024-04-23,46.470001,46.841999,46.370998,46.820000,46.800674,23200
2024-04-24,47.000000,47.099998,46.763000,47.040001,47.020584,30300
2024-04-25,46.189999,46.619999,46.021999,46.619999,46.600758,34700
2024-04-26,47.160000,47.299999,47.082001,47.139999,47.120541,28900
2024-04-29,47.320000,47.348999,47.110001,47.299999,47.280476,54300
2024-04-30,47.230000,47.279999,46.480000,46.480000,46.460815,69300
2024-05-01,46.520000,47.130001,46.419998,46.419998,46.400837,31400
2024-05-02,46.880001,46.889999,46.389999,46.830002,46.810673,76200
2024-05-03,47.560001,47.570000,47.270000,47.520000,47.500385,39000
2024-05-06,47.720001,47.980000,47.654999,47.980000,47.960194,81000
2024-05-07,48.060001,48.160000,48.020000,48.029999,48.010174,60200
2024-05-08,47.830002,48.009998,47.799999,47.970001,47.950199,63000
2024-05-09,48.020000,48.279999,47.980000,48.279999,48.260071,36300
2024-05-10,48.340000,48.340000,48.098999,48.169998,48.150116,15000
2024-05-13,48.349998,48.349998,48.169998,48.290001,48.270069,59500
2024-05-14,48.340000,48.549999,48.250000,48.520000,48.499973,40300
2024-05-15,48.740002,49.209999,48.700001,49.209999,49.189686,34400
2024-05-16,49.230000,49.298000,49.060001,49.099998,49.079731,47700
2024-05-17,49.090000,49.189999,49.023998,49.189999,49.169693,27400
2024-05-20,49.180000,49.400002,49.070000,49.330002,49.309639,57100
2024-05-21,49.270000,49.518002,49.270000,49.480000,49.459576,48800
2024-05-22,49.520000,49.529999,49.250000,49.459999,49.439583,35800
2024-05-23,49.630001,49.630001,48.700001,48.770000,48.749870,30300
2024-05-24,49.029999,49.270000,48.910000,49.139999,49.119717,26500
2024-05-28,49.200001,49.214001,48.868999,49.090000,49.069736,85600
2024-05-29,48.759998,48.919998,48.703999,48.840000,48.819839,59000
2024-05-30,48.549999,48.549999,48.200001,48.250000,48.230083,72000
2024-05-31,48.389999,48.650002,47.779999,48.599998,48.579937,58500
2024-06-03,48.689999,48.830002,48.185001,48.639999,48.619923,145900
2024-06-04,48.540001,48.639999,48.334999,48.599998,48.579937,72700
2024-06-05,48.799999,49.139999,48.701000,49.139999,49.119717,52900
2024-06-06,49.139999,49.270000,49.102001,49.180000,49.159702,56500
2024-06-07,49.200001,49.418999,49.138000,49.200001,49.179691,18700
2024-06-10,49.130001,49.320000,49.084999,49.320000,49.299641,55400
2024-06-11,49.259998,49.840000,49.159000,49.830002,49.809433,29200
2024-06-12,50.169998,50.630001,50.139999,50.290001,50.269241,37100
2024-06-13,50.330002,50.334999,50.040001,50.220001,50.199272,36200
2024-06-14,50.169998,50.205002,49.995998,50.169998,50.149288,19400
2024-06-17,50.099998,50.790001,50.049999,50.650002,50.629097,32800
2024-06-18,50.650002,50.709999,50.419998,50.590000,50.569118,38800
2024-06-20,50.540001,50.549999,50.259998,50.439999,50.419178,67900
2024-06-21,50.529999,50.619999,50.450001,50.500000,50.479156,30200
2024-06-24,50.529999,50.880001,50.509998,50.549999,50.529133,70000
2024-06-25,50.680000,50.820000,50.570000,50.790001,50.769035,63700
2024-06-26,50.660000,50.959999,50.660000,50.880001,50.859001,42900
2024-06-27,50.990002,51.099998,50.865002,51.060001,51.060001,47100
2024-06-28,51.130001,51.259998,50.590000,50.630001,50.630001,54300
2024-07-01,50.840000,50.970001,50.626999,50.950001,50.950001,113000
2024-07-02,50.889999,51.430000,50.845001,51.430000,51.430000,72800
2024-07-03,51.410000,51.634998,51.380001,51.630001,51.630001,57100
